Date,USD_NGN,EUR_NGN,GBP_NGN,
01/01/2021,396.7,482.2,542.42,
04/01/2021,386.11,473.09,523.99,
05/01/2021,388.31,477.56,529.17,
06/01/2021,388.31,479.11,529.04,
07/01/2021,389.39,477.75,528.37,
08/01/2021,383.5,468.63,520.18,
11/01/2021,387.66,471.4,524.25,
12/01/2021,389.05,474.98,531.72,
13/01/2021,386.4,469.94,527.35,
14/01/2021,388.43,471.97,531.48,
15/01/2021,381.2,460.31,517.82,
18/01/2021,389.37,470.27,528.92,
19/01/2021,385.97,468.55,526.62,
20/01/2021,387.57,469.53,529.68,
21/01/2021,380.5,462.9,522.38,
22/01/2021,381.5,464.36,521.95,
25/01/2021,386.96,469.87,529.22,
26/01/2021,388,471.96,533.11,
27/01/2021,387.54,468.98,529.79,
28/01/2021,387.11,469.17,531.29,
29/01/2021,380.5,461.84,521.49,
01/02/2021,388.72,469.1,531.6,
02/02/2021,380,457.38,519.04,
03/02/2021,388.03,467.24,529.67,
04/02/2021,387.49,463.73,529.79,
05/02/2021,381,459.06,523.36,
08/02/2021,381,459.14,523.71,
09/02/2021,381,461.68,526.37,
10/02/2021,391.41,474.34,541.36,
11/02/2021,391.55,474.99,540.79,
12/02/2021,381,461.78,527.45,
15/02/2021,399.64,484.85,556.1,
16/02/2021,396.39,479.17,550.41,
17/02/2021,396.42,477.55,549.62,
18/02/2021,396.14,479.01,553.28,
19/02/2021,381,461.69,533.61,
22/02/2021,396.39,482.17,557.63,
23/02/2021,396.07,481.26,559.21,
24/02/2021,396.01,481.94,560.24,
25/02/2021,393.28,478.15,550.74,
26/02/2021,381.08,460.04,530.88,
01/03/2021,380.5,458.45,529.99,
02/03/2021,381,460.44,531.65,
03/03/2021,381,458.98,530.43,
04/03/2021,380,454.79,527.96,
05/03/2021,381,453.82,527.13,
08/03/2021,380.5,450.93,525.92,
09/03/2021,396.09,471.23,550.06,
10/03/2021,396.12,472.36,551.81,
11/03/2021,396.42,474.96,554.51,
12/03/2021,381,455.43,530.35,
15/03/2021,381,454.38,529.53,
16/03/2021,380,452.25,528.29,
17/03/2021,405.13,485.49,566.19,
18/03/2021,380.5,453.47,529.78,
19/03/2021,380.5,454.56,527.86,
22/03/2021,395.89,472.38,548.67,
23/03/2021,380.5,450.5,522.46,
24/03/2021,392.12,463.2,536.75,
25/03/2021,392.46,462.18,539.49,
26/03/2021,380,448.18,523.78,
29/03/2021,394.95,464.8,544.02,
30/03/2021,392.13,459.7,539.02,
31/03/2021,395.46,463.77,545.16,
01/04/2021,392.54,462.35,543.04,
02/04/2021,381,448.08,526.94,
05/04/2021,409.36,483.74,569.53,
06/04/2021,410,486.83,567.04,
07/04/2021,397.78,472.26,546.64,
08/04/2021,397.66,473.83,546.13,
09/04/2021,408.49,486.14,559.98,
12/04/2021,391.82,466.73,538.95,
13/04/2021,382,456.72,525.59,
14/04/2021,380.5,456.02,524.25,
15/04/2021,392.04,469.27,540.4,
16/04/2021,380.5,455.93,526.32,
19/04/2021,408.66,492.14,571.78,
20/04/2021,381,458.44,531.04,
21/04/2021,380.5,458.02,530.09,
22/04/2021,394.79,474.32,546.34,
23/04/2021,381.5,461.56,529.47,
26/04/2021,392.82,474.51,545.82,
27/04/2021,379.5,458.82,527.62,
28/04/2021,399.13,484.32,557.01,
29/04/2021,394.83,478.75,550.86,
30/04/2021,380.5,457.34,525.72,
03/05/2021,380.5,458.83,529.02,
04/05/2021,394.58,474.08,547.97,
05/05/2021,380.5,456.89,529.24,
06/05/2021,394.89,476.45,548.7,
07/05/2021,380.5,462.81,532.25,
10/05/2021,380.5,461.95,537.67,
11/05/2021,409.11,496.83,578.3,
12/05/2021,403.97,487.89,568.06,
13/05/2021,380,458.92,533.76,
14/05/2021,413,501.56,582.38,
17/05/2021,410.66,499.27,580.92,
18/05/2021,409.99,501.11,581.67,
19/05/2021,412.19,501.65,581.49,
20/05/2021,410.91,502.34,582.84,
21/05/2021,412.5,502.42,583.77,
24/05/2021,411.53,502.66,582.53,
25/05/2021,412.5,505.25,583.32,
26/05/2021,411.86,502.14,581.36,
27/05/2021,412.52,502.98,585.9,
28/05/2021,412.5,502.94,585.32,
31/05/2021,411.98,503.95,586.08,
01/06/2021,411.78,503.09,582.91,
02/06/2021,411.51,502.43,583.14,
03/06/2021,412.5,500.4,581.96,
04/06/2021,411.5,500.68,582.71,
07/06/2021,412.54,502.92,584.81,
08/06/2021,411.42,500.8,582.12,
09/06/2021,412.81,502.75,582.53,
10/06/2021,411.61,501.04,583.28,
11/06/2021,412.59,499.6,582.12,
14/06/2021,412.55,500.09,582.09,
15/06/2021,411.74,499.25,579.76,
16/06/2021,411.12,493.14,575.14,
17/06/2021,410,488.43,571.46,
18/06/2021,410,486.4,565.86,
21/06/2021,411,489.58,572.29,
22/06/2021,411.03,490.62,573.37,
23/06/2021,411.33,490.74,574.51,
24/06/2021,410.5,489.65,571.27,
25/06/2021,411.25,490.93,571.02,
28/06/2021,410.5,489.68,569.72,
29/06/2021,410.46,488.47,568.15,
30/06/2021,410.16,486.39,567.18,
01/07/2021,411.01,486.88,565.51,
02/07/2021,411.5,488.24,568.9,
05/07/2021,411.46,488.22,570.09,
06/07/2021,411.5,486.51,568.03,
07/07/2021,411.59,485.4,567.99,
08/07/2021,410.93,486.8,566.67,
09/07/2021,410,486.99,570.2,
12/07/2021,411.06,487.67,570.76,
13/07/2021,411,483.96,567.39,
14/07/2021,410.65,485.93,569.02,
15/07/2021,411,485.46,568.35,
16/07/2021,411.5,485.84,566.43,
19/07/2021,410.73,484.33,561.38,
20/07/2021,411.27,484.58,560.7,
21/07/2021,411.22,484.97,563.88,
22/07/2021,411.33,484.23,566.51,
23/07/2021,411.5,484.4,566.02,
26/07/2021,411.64,485.94,569.17,
27/07/2021,411.5,486.44,571.24,
28/07/2021,411.5,487.45,572.23,
29/07/2021,411.57,489.42,574.71,
30/07/2021,411.47,488.3,572.05,
