Date,USD_NGN,EUR_NGN,GBP_NGN,USD_NGN_Norm,EUR_NGN_Norm,GBP_NGN_Norm
01/01/2021,396.7,482.2,542.42,0.013168775,0.04587929,0.044628825
04/01/2021,386.11,473.09,523.99,0.005060791,0.039587549,0.03424754
05/01/2021,388.31,477.56,529.17,0.006745169,0.042674715,0.03716534
06/01/2021,388.31,479.11,529.04,0.006745169,0.043745209,0.037092113
07/01/2021,389.39,477.75,528.37,0.007572045,0.042805937,0.036714715
08/01/2021,383.5,468.63,520.18,0.003062506,0.03650729,0.032101436
11/01/2021,387.66,471.4,524.25,0.006247512,0.038420366,0.034393993
12/01/2021,389.05,474.98,531.72,0.007311732,0.040892861,0.038601709
13/01/2021,386.4,469.94,527.35,0.005282822,0.03741203,0.036140167
14/01/2021,388.43,471.97,531.48,0.006837044,0.038814031,0.038466521
15/01/2021,381.2,460.31,517.82,0.001301565,0.030761156,0.030772091
18/01/2021,389.37,470.27,528.92,0.007556733,0.037639941,0.03702452
19/01/2021,385.97,468.55,526.62,0.004953603,0.036452038,0.035728971
20/01/2021,387.57,469.53,529.68,0.006178605,0.037128867,0.037452614
21/01/2021,380.5,462.9,522.38,0.000765626,0.032549916,0.033340656
22/01/2021,381.5,464.36,521.95,0.001531253,0.033558252,0.033098445
25/01/2021,386.96,469.87,529.22,0.005711573,0.037363685,0.037193504
26/01/2021,388,471.96,533.11,0.006507825,0.038807125,0.039384671
27/01/2021,387.54,468.98,529.79,0.006155637,0.036749014,0.037514575
28/01/2021,387.11,469.17,531.29,0.005826417,0.036880236,0.038359498
29/01/2021,380.5,461.84,521.49,0.000765626,0.031817836,0.032839335
01/02/2021,388.72,469.1,531.6,0.007059076,0.036831891,0.038534115
02/02/2021,380,457.38,519.04,0.000382813,0.028737577,0.031459294
03/02/2021,388.03,467.24,529.67,0.006530793,0.035547299,0.037446981
04/02/2021,387.49,463.73,529.79,0.006117355,0.033123148,0.037514575
05/02/2021,381,459.06,523.36,0.00114844,0.029897854,0.033892672
08/02/2021,381,459.14,523.71,0.00114844,0.029953105,0.034089821
09/02/2021,381,461.68,526.37,0.00114844,0.031707334,0.035588151
10/02/2021,391.41,474.34,541.36,0.009118611,0.040450851,0.044031747
11/02/2021,391.55,474.99,540.79,0.009225799,0.040899767,0.043710676
12/02/2021,381,461.78,527.45,0.00114844,0.031776398,0.036196495
15/02/2021,399.64,484.85,556.1,0.015419716,0.047709489,0.052334522
16/02/2021,396.39,479.17,550.41,0.01293143,0.043786647,0.049129448
17/02/2021,396.42,477.55,549.62,0.012954399,0.042667809,0.048684455
18/02/2021,396.14,479.01,553.28,0.012740024,0.043676145,0.050746067
19/02/2021,381,461.69,533.61,0.00114844,0.03171424,0.039666312
22/02/2021,396.39,482.17,557.63,0.01293143,0.045858571,0.053196343
23/02/2021,396.07,481.26,559.21,0.01268643,0.045230087,0.054086329
24/02/2021,396.01,481.94,560.24,0.012640492,0.045699723,0.054666509
25/02/2021,393.28,478.15,550.74,0.010550332,0.043082193,0.049315331
26/02/2021,381.08,460.04,530.88,0.00120969,0.030574682,0.038128552
